CountryName,VaccineName,Yr,Doses
Afghanistan,BCG,2019,78
Afghanistan,BCG,2018,78
Afghanistan,BCG,2017,78
Afghanistan,BCG,2016,78
Afghanistan,BCG,2015,76
Afghanistan,BCG,2014,74
Afghanistan,BCG,2013,72
Afghanistan,BCG,2012,78
Afghanistan,BCG,2011,71
Afghanistan,BCG,2010,68
Afghanistan,BCG,2009,64
Afghanistan,BCG,2008,66
Afghanistan,BCG,2007,60
Afghanistan,BCG,2006,60
Afghanistan,BCG,2005,57
Afghanistan,BCG,2004,51
Afghanistan,BCG,2003,44
Afghanistan,BCG,2002,46
Afghanistan,BCG,2001,43
Afghanistan,BCG,2000,30
Afghanistan,BCG,1999,38
Afghanistan,BCG,1998,35
Afghanistan,BCG,1997,43
Afghanistan,BCG,1996,47
Afghanistan,BCG,1995,31
Afghanistan,BCG,1994,15
Afghanistan,BCG,1993,17
Afghanistan,BCG,1992,19
Afghanistan,BCG,1991,21
Afghanistan,BCG,1990,30
Afghanistan,BCG,1989,38
Afghanistan,BCG,1988,40
Afghanistan,BCG,1987,27
Afghanistan,BCG,1986,18
Afghanistan,BCG,1985,17
Afghanistan,BCG,1984,11
Afghanistan,BCG,1983,10
Afghanistan,BCG,1982,10
Afghanistan,MCV1,2019,64
Afghanistan,MCV1,2018,64
Afghanistan,MCV1,2017,64
Afghanistan,MCV1,2016,64
Afghanistan,MCV1,2015,63
Afghanistan,MCV1,2014,60
Afghanistan,MCV1,2013,57
Afghanistan,MCV1,2012,59
Afghanistan,MCV1,2011,64
Afghanistan,MCV1,2010,62
Afghanistan,MCV1,2009,60
Afghanistan,MCV1,2008,59
Afghanistan,MCV1,2007,55
Afghanistan,MCV1,2006,53
Afghanistan,MCV1,2005,50
Afghanistan,MCV1,2004,48
Afghanistan,MCV1,2003,39
Afghanistan,MCV1,2002,35
Afghanistan,MCV1,2001,37
Afghanistan,MCV1,2000,27
Afghanistan,MCV1,1999,31
Afghanistan,MCV1,1998,31
Afghanistan,MCV1,1997,38
Afghanistan,MCV1,1996,42
Afghanistan,MCV1,1995,41
Afghanistan,MCV1,1994,40
Afghanistan,MCV1,1993,25
Afghanistan,MCV1,1992,22
Afghanistan,MCV1,1991,19
Afghanistan,MCV1,1990,20
Afghanistan,MCV1,1989,22
Afghanistan,MCV1,1988,34
Afghanistan,MCV1,1987,31
Afghanistan,MCV1,1986,14
Afghanistan,MCV1,1985,14
Afghanistan,MCV1,1984,14
Afghanistan,MCV1,1983,9
Afghanistan,MCV1,1982,8
Afghanistan,MCV1,1980,11
Afghanistan,Pol3,2019,73
Afghanistan,Pol3,2018,73
Afghanistan,Pol3,2017,73
Afghanistan,Pol3,2016,73
Afghanistan,Pol3,2015,69
Afghanistan,Pol3,2014,62
Afghanistan,Pol3,2013,64
Afghanistan,Pol3,2012,67
Afghanistan,Pol3,2011,68
Afghanistan,Pol3,2010,66
Afghanistan,Pol3,2009,63
Afghanistan,Pol3,2008,64
Afghanistan,Pol3,2007,63
Afghanistan,Pol3,2006,58
Afghanistan,Pol3,2005,58
Afghanistan,Pol3,2004,50
Afghanistan,Pol3,2003,41
Afghanistan,Pol3,2002,36
Afghanistan,Pol3,2001,35
Afghanistan,Pol3,2000,24
Afghanistan,Pol3,1999,27
Afghanistan,Pol3,1998,28
Afghanistan,Pol3,1997,28
Afghanistan,Pol3,1996,31
Afghanistan,Pol3,1995,20
Afghanistan,Pol3,1994,8
Afghanistan,Pol3,1993,18
Afghanistan,Pol3,1992,21
Afghanistan,Pol3,1991,23
Afghanistan,Pol3,1990,25
Afghanistan,Pol3,1989,33
Afghanistan,Pol3,1988,35
Afghanistan,Pol3,1987,25
Afghanistan,Pol3,1986,11
Afghanistan,Pol3,1985,15
Afghanistan,Pol3,1984,16
Afghanistan,Pol3,1983,5
Afghanistan,Pol3,1982,5
Afghanistan,Pol3,1981,3
Afghanistan,DTP3,2019,66
Afghanistan,DTP3,2018,66
Afghanistan,DTP3,2017,66
Afghanistan,DTP3,2016,66
Afghanistan,DTP3,2015,65
Afghanistan,DTP3,2014,62
Afghanistan,DTP3,2013,64
Afghanistan,DTP3,2012,67
Afghanistan,DTP3,2011,68
Afghanistan,DTP3,2010,66
Afghanistan,DTP3,2009,63
Afghanistan,DTP3,2008,64
Afghanistan,DTP3,2007,63
Afghanistan,DTP3,2006,58
Afghanistan,DTP3,2005,58
Afghanistan,DTP3,2004,50
Afghanistan,DTP3,2003,41
Afghanistan,DTP3,2002,36
Afghanistan,DTP3,2001,33
Afghanistan,DTP3,2000,24
Afghanistan,DTP3,1999,27
Afghanistan,DTP3,1998,27
Afghanistan,DTP3,1997,28
Afghanistan,DTP3,1996,31
Afghanistan,DTP3,1995,20
Afghanistan,DTP3,1994,12
Afghanistan,DTP3,1993,18
Afghanistan,DTP3,1992,21
Afghanistan,DTP3,1991,23
Afghanistan,DTP3,1990,25
Afghanistan,DTP3,1989,33
Afghanistan,DTP3,1988,35
Afghanistan,DTP3,1987,25
Afghanistan,DTP3,1986,11
Afghanistan,DTP3,1985,15
Afghanistan,DTP3,1984,16
Afghanistan,DTP3,1983,5
Afghanistan,DTP3,1982,5
Afghanistan,DTP3,1981,3
Afghanistan,DTP3,1980,4
Afghanistan,MCV2,2019,39
Afghanistan,MCV2,2018,39
Afghanistan,MCV2,2017,39
Afghanistan,MCV2,2016,39
Afghanistan,MCV2,2015,39
Afghanistan,MCV2,2014,39
Afghanistan,MCV2,2013,35
Afghanistan,MCV2,2012,33
Afghanistan,MCV2,2011,31
Afghanistan,MCV2,2010,29
Afghanistan,MCV2,2009,24
Afghanistan,MCV2,2008,23
Afghanistan,MCV2,2007,4
Afghanistan,MCV2,2006,18
Afghanistan,MCV2,2005,9
Afghanistan,MCV2,2004,2
Afghanistan,RotaC,2019,55
Afghanistan,RotaC,2018,45
Afghanistan,Hib3,2019,66
Afghanistan,Hib3,2018,66
Afghanistan,Hib3,2017,66
Afghanistan,Hib3,2016,66
Afghanistan,Hib3,2015,65
Afghanistan,Hib3,2014,62
Afghanistan,Hib3,2013,64
Afghanistan,Hib3,2012,67
Afghanistan,Hib3,2011,68
Afghanistan,Hib3,2010,66
Afghanistan,Hib3,2009,63
Afghanistan,PAB,2019,68
Afghanistan,PAB,2018,68
Afghanistan,PAB,2017,70
Afghanistan,PAB,2016,70
Afghanistan,PAB,2015,70
Afghanistan,PAB,2014,70
Afghanistan,PAB,2013,65
Afghanistan,PAB,2012,60
Afghanistan,PAB,2011,60
Afghanistan,PAB,2010,79
Afghanistan,PAB,2009,89
Afghanistan,PAB,2008,83
Afghanistan,PAB,2007,84
Afghanistan,PAB,2006,95
Afghanistan,PAB,2005,96
Afghanistan,PAB,2004,95
Afghanistan,PAB,2003,62
Afghanistan,PAB,2002,52
Afghanistan,PAB,2001,47
Afghanistan,PAB,2000,32
Afghanistan,PAB,1999,28
Afghanistan,PAB,1998,21
Afghanistan,PAB,1997,19
Afghanistan,PAB,1996,17
Afghanistan,PAB,1995,13
Afghanistan,PAB,1994,10
Afghanistan,PAB,1993,13
Afghanistan,PAB,1992,11
Afghanistan,PAB,1991,13
Afghanistan,PAB,1990,13
Afghanistan,PAB,1989,26
Afghanistan,PAB,1988,16
Afghanistan,PAB,1987,13
Afghanistan,PAB,1986,18
Afghanistan,PAB,1985,13
Afghanistan,PAB,1984,5
Afghanistan,PAB,1983,4
