Continent,CountryName,Government,CountryCode,Region,IncomeGroup
Africa,Algeria,Republic,DZA,Middle East & North Africa,Lower middle income
Africa,Angola,Republic,AGO,Sub-Saharan Africa,Lower middle income
Africa,Benin,Republic,BEN,Sub-Saharan Africa,Lower middle income
Africa,Botswana,Republic,BWA,Sub-Saharan Africa,Upper middle income
Africa,Burundi,Republic,BDI,Sub-Saharan Africa,Low income
Africa,Cameroon,Republic,CMR,Sub-Saharan Africa,Lower middle income
Africa,Central African Republic,Republic,CAF,Sub-Saharan Africa,Low income
Africa,Chad,Republic,TCD,Sub-Saharan Africa,Low income
Africa,Comoros,Republic,COM,Sub-Saharan Africa,Lower middle income
Africa,Djibouti,Republic,DJI,Middle East & North Africa,Lower middle income
Africa,Equatorial Guinea,Republic,GNQ,Sub-Saharan Africa,Upper middle income
Africa,Eritrea,Republic,ERI,Sub-Saharan Africa,Low income
Africa,Ethiopia,Republic,ETH,Sub-Saharan Africa,Low income
Africa,Gabon,Republic,GAB,Sub-Saharan Africa,Upper middle income
Africa,Ghana,Republic,GHA,Sub-Saharan Africa,Lower middle income
Africa,Guinea,Republic,GIN,Sub-Saharan Africa,Low income
Africa,Guinea-Bissau,Republic,GNB,Sub-Saharan Africa,Low income
Africa,Kenya,Republic,KEN,Sub-Saharan Africa,Lower middle income
Africa,Lesotho,Constitutional Monarchy,LSO,Sub-Saharan Africa,Lower middle income
Africa,Liberia,Republic,LBR,Sub-Saharan Africa,Low income
Africa,Madagascar,Republic,MDG,Sub-Saharan Africa,Low income
Africa,Malawi,Republic,MWI,Sub-Saharan Africa,Low income
Africa,Mali,Provisional,MLI,Sub-Saharan Africa,Low income
Africa,Mauritania,Republic,MRT,Sub-Saharan Africa,Lower middle income
Africa,Mauritius,Republic,MUS,Sub-Saharan Africa,High income
Africa,Morocco,Constitutional Monarchy,MAR,Middle East & North Africa,Lower middle income
Africa,Mozambique,Republic,MOZ,Sub-Saharan Africa,Low income
Africa,Namibia,Republic,NAM,Sub-Saharan Africa,Upper middle income
Africa,Niger,Republic,NER,Sub-Saharan Africa,Low income
Africa,Nigeria,Republic,NGA,Sub-Saharan Africa,Lower middle income
Africa,Rwanda,Republic,RWA,Sub-Saharan Africa,Low income
Africa,Senegal,Absolute Monarchy,SEN,Sub-Saharan Africa,Lower middle income
Africa,Seychelles,Republic,SYC,Sub-Saharan Africa,High income
Africa,Sierra Leone,Republic,SLE,Sub-Saharan Africa,Low income
Africa,Somalia,Republic,SOM,Sub-Saharan Africa,Low income
Africa,South Africa,Republic,ZAF,Sub-Saharan Africa,Upper middle income
Africa,Sudan,Provisional,SDN,Sub-Saharan Africa,Low income
Africa,Tanzania,Republic,TZA,Sub-Saharan Africa,Lower middle income
Africa,Togo,Republic,TGO,Sub-Saharan Africa,Low income
Africa,Tunisia,Republic,TUN,Middle East & North Africa,Lower middle income
Africa,Uganda,Republic,UGA,Sub-Saharan Africa,Low income
Africa,Zambia,Republic,ZMB,Sub-Saharan Africa,Lower middle income
Africa,Zimbabwe,Republic,ZWE,Sub-Saharan Africa,Lower middle income
Asia,Afghanistan,Republic,AFG,South Asia,Low income
Asia,Bahrain,Republic,BHR,Middle East & North Africa,High income
Asia,Bangladesh,Constitutional Monarchy,BGD,South Asia,Lower middle income
